url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,country
https://gulfnews.com/business/sectors/markets/lira-tumbles-to-record-as-lack-of-central-bank-action-fuels-rout-1.2227926,http://m.gulfnews.com/amp/business/sectors/markets/lira-tumbles-to-record-as-lack-of-central-bank-action-fuels-rout-1.2227926,Lira tumbles to record as lack of central bank action fuels rout,20180528T150000Z,https://static.gulfnews.com/polopoly_fs/1.2228124!/image/174996905.jpg_gen/derivatives/box_460346/174996905.jpg,gulfnews.com,English,United Arab Emirates,Turkey
http://www.xinhuanet.com/english/2018-05/30/c_137215958.htm,,"Spotlight : Turkey acts to regain investors confidence , save embattled currency - Xinhua",20180530T004500Z,,xinhuanet.com,English,China,Turkey
https://fixedincome.fidelity.com/ftgw/fi/FINewsArticle?id=201805231721MRKTWTCHNEWS_SVC000620,,Fixed Income News,20180523T214500Z,,fixedincome.fidelity.com,English,United States,Turkey
http://www.worldbulletin.net/headlines/202584/syrians-launch-campaign-to-support-turkish-lira,,Syrians launch campaign to support Turkish lira | Turkey,20180530T110000Z,http://media.worldbulletin.net/news/2015/08/20/lira.jpg,worldbulletin.net,English,Turkey,Turkey
http://www.worldbulletin.net/syrians-launch-campaign-to-support-turkish-lira/202584/syrians-launch-campaign-to-support-turkish-lira,,Syrians launch campaign to support Turkish lira | Turkey,20180531T093000Z,http://media.worldbulletin.net/news/2015/08/20/lira.jpg,worldbulletin.net,English,Turkey,Turkey
http://www.worldbulletin.net/news/202584/syrians-launch-campaign-to-support-turkish-lira,,Syrians launch campaign to support Turkish lira | Turkey,20180531T093000Z,http://media.worldbulletin.net/news/2015/08/20/lira.jpg,worldbulletin.net,English,Turkey,Turkey
http://www.digitaljournal.com/news/world/turkey-bank-vows-necessary-steps-after-lira-crashes-to-new-lows/article/522337,,Turkey bank vows  necessary step after lira crashes to new lows,20180516T131500Z,http://www.digitaljournal.com/img/1/0/4/8/0/9/3/i/3/8/4/p-large/101e7928bef964b0cd13f38eca12586d2308743a.jpg,digitaljournal.com,English,United States,Turkey
https://steelguru.com/steel/gms-market-commentary-on-shipbreaking-in-turkey-in-week-19-lira-languishes-further/509505,,GMS Market Commentary on Shipbreaking in Turkey in Week 19,20180516T050000Z,https://steelguru.com/uploads/news/gms_market_commentary_on_shipbreaking_in_turkey_in_week_19_23403.jpg,steelguru.com,English,China,Turkey
https://aawsat.com/english/home/article/1272386/turkey-central-bank-vows-necessary-steps-calm-lira,https://aawsat.com/english/home/article/1272386/turkey-central-bank-vows-necessary-steps-calm-lira?amp,Turkey : Central Bank Vows Necessary Steps to Calm Lira,20180518T141500Z,https://aawsat.com/sites/default/files/styles/large/public/2018/05/18/lira.jpg?itok=8OORs-WK,aawsat.com,English,Syria,Turkey
https://www.marketwatch.com/story/turkish-lira-hits-historic-low-as-erdogan-eyes-control-of-countrys-central-bank-2018-05-15,https://www.marketwatch.com/amp/story/guid/FFF4AC44-585A-11E8-B3CC-E89561607806,Turkish lira hits historic low as Erdogan eyes control of country central bank,20180515T183000Z,http://s.marketwatch.com/public/resources/MWimages/MW-GJ230_erdoga_ZG_20180515123805.jpg,marketwatch.com,English,United States,Turkey
http://www.france24.com/en/20180516-turkey-bank-vows-necessary-steps-after-lira-crashes-new-lows,http://m.france24.com/en/20180516-turkey-bank-vows-necessary-steps-after-lira-crashes-new-lows,Flash - Turkey bank vows  necessary step after lira crashes to new lows - France 24,20180516T140000Z,http://www.france24.com/bundles/aefhermesf24/img/vf-missing-image.png?version=20180301121500,france24.com,English,France,Turkey
https://au.news.yahoo.com/turkey-bank-vows-necessary-steps-lira-crashes-lows-124620414--spt.html,https://au.news.yahoo.com/amphtml/turkey-bank-vows-necessary-steps-lira-crashes-lows-124620414--spt.html,Turkey bank vows  necessary step after lira crashes to new lows,20180516T131500Z,,au.news.yahoo.com,English,United States,Turkey
https://english.enabbaladi.net/archives/2018/06/has-the-turkification-of-currency-begun-in-northern-syria/,https://english.enabbaladi.net/archives/2018/06/has-the-turkification-of-currency-begun-in-northern-syria/amp/,Has the Turkification of Currency Begun in Northern Syria ? ,20180613T190000Z,https://english.enabbaladi.net/wp-content/uploads/2018/06/Turkey.jpg,english.enabbaladi.net,English,Syria,Turkey
http://syrianobserver.com/EN/Features/34350/Has_Turkification_Currency_Begun_Northern_Syria,,SyrianObserver . com : Has the Turkification of Currency Begun in Northern Syria ? ,20180611T100000Z,http://syrianobserver.com/tjcgArtImages/images/IMG-RSG-96010.jpg,syrianobserver.com,English,Syria,Turkey
http://english.alarabiya.net/en/business/economy/2018/05/29/The-Turkish-Lira-Story-of-its-fall-amid-political-economic-uncertainty.html,,"The Turkish Lira : Story of its fall amid political , economic uncertainty",20180529T034500Z,https://vid.alarabiya.net/images/2018/05/29/7633c2d4-8a32-4790-aa77-88ba1dbbc512/7633c2d4-8a32-4790-aa77-88ba1dbbc512_16x9_788x442.JPG,english.alarabiya.net,English,Iran,Turkey
https://www.marketwatch.com/story/turkey-delivers-another-rate-hike-sending-currency-soaring-2018-06-07,https://www.marketwatch.com/amp/story/guid/F16BFB36-6A58-11E8-97E1-F5D5E4AB6221,"Turkey delivers another rate hike , sending currency soaring",20180607T161500Z,http://s.marketwatch.com/public/resources/MWimages/MW-FY794_turkis_MG_20171121120132.jpg,marketwatch.com,English,United States,Turkey
http://mwcnews.net/news/business/72211-erdogan-asks-turks-to-prop-up-lira.html,,Erdogan asks Turks to prop up lira amid currency volatility,20180527T020000Z,http://mwcnews.net/images/comprofiler/62_54935dde3f7bb.jpg,mwcnews.net,English,Israel,Turkey
https://www.bloombergquint.com/quicktakes/2018/05/14/what-the-lira-s-plight-says-about-turkey-s-economy-quicktake,/quicktakes/2018/05/14/what-the-lira-s-plight-says-about-turkey-s-economy-quicktake.amp,What the Lira Plight Says About Turkey Economy : QuickTake,20180514T191500Z,https://fea.assettype.com/bloombergquint/assets/static/bq_1200x630_black-6867abadeb970f9954da9a6c3895c21ee8cbe46751cd04a78ed2e8f761da4905.png,bloombergquint.com,English,,Turkey
https://www.reuters.com/article/turkey-currency/turkish-lira-firms-shrugging-off-moodys-after-economy-officials-meet-investors-idUSL5N1T00U1,https://mobile.reuters.com/article/amp/idUSL5N1T00U1,"Turkish lira firms , shrugging off Moody after economy officials meet investors",20180531T034500Z,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,reuters.com,English,United States,Turkey
http://www.morningstar.co.uk/uk/news/AN_1528375858010930300/turkish-lira-advances-to-weekly-high-vs-us-dollar-after-turkey-rate-decision.aspx,,Turkish Lira Advances To Weekly High Vs US Dollar ... ,20180607T133000Z,,morningstar.co.uk,English,United Kingdom,Turkey
https://www.bloomberg.com/news/articles/2018-05-15/lira-falls-as-erdogan-intent-to-sway-money-policy-irks-traders,https://www.bloomberg.com/amp/news/articles/2018-05-15/lira-falls-as-erdogan-intent-to-sway-money-policy-irks-traders,Lira Falls as Erdogan Intent to Sway Money Policy Irks Traders,20180515T074500Z,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iPpKTNAzZ.mY/v0/1200x800.jpg,bloomberg.com,English,United States,Turkey
https://www.middle-east-online.com/en/turkish-lira-slips-462-against-dollar-repo-auctions-resume,,Turkish lira slips to 4 . 62 against dollar as repo auctions resume,20180601T180000Z,https://s3.eu-west-2.amazonaws.com/meo.prod/styles/social_image/s3/2018-06/lirac.jpg?hLFa4p9gIhP1hVxDNJDllom7QRcSjj5s&itok=j3pFctGo,middle-east-online.com,English,Iraq,Turkey
https://www.alaraby.co.uk/english/news/2018/6/7/turkey-raises-interest-rates-to-strengthen-weak-lira,https://www.alaraby.co.uk/english/amp/news/2018/6/7/turkey-raises-interest-rates-to-strengthen-weak-lira,"Turkey raises interest rates to strengthen weak lira , ahead of el",20180608T001500Z,https://www.alaraby.co.uk/english/file/getimagecustom/bdec25a5-80c7-4d25-85e1-964e2115754c/600/338,alaraby.co.uk,English,United Kingdom,Turkey
http://www.futuresmag.com/2018/05/23/turkish-lira-crisis-continues-deepen-currency-freefall,,Turkish Lira crisis continues to deepen with currency in freefall,20180523T173000Z,,futuresmag.com,English,United States,Turkey
https://uk.reuters.com/article/turkey-currency-outlook/graphic-markets-see-more-turkish-lira-losses-and-more-cenbank-moves-to-support-it-idUKL5N1SW52L,https://uk.mobile.reuters.com/article/amp/idUKL5N1SW52L,GRAPHIC - Markets see more Turkish lira losses and more cenbank moves to support it,20180527T130000Z,https://s4.reutersmedia.net/resources_v2/images/rcom-default.png,uk.reuters.com,English,United States,Turkey
https://www.marketwatch.com/story/turkish-central-bank-hikes-lending-rate-halts-lira-drop-2018-05-23,https://www.marketwatch.com/amp/story/guid/742D1195-F694-4421-874D-623364D4067B,"Turkish central bank hikes lending rate , halts lira drop",20180523T170000Z,,marketwatch.com,English,United States,Turkey
https://www.bloomberg.com/news/articles/2018-05-14/erdogan-needs-to-charm-lira-higher-before-turkey-s-vote-chart,https://www.bloomberg.com/amp/news/articles/2018-05-14/erdogan-needs-to-charm-lira-higher-before-turkey-s-vote-chart,Erdogan Needs to Charm Lira Higher Before Turkey Vote,20180514T084500Z,https://assets.bwbx.io/s3/javelin/public/javelin/images/social-markets-3d32d2f713.jpg,bloomberg.com,English,United States,Turkey
https://www.forexlive.com/news/!/turkey-economic-minister-says-lira-weakening-is-speculative-20180523,,Turkey economic minister says lira weakening is speculative,20180523T140000Z,,forexlive.com,English,Greece,Turkey
https://www.bullionvault.com/gold-news/turkey-erdogan-053020182,https://www.bullionvault.com/gold-news/turkey-erdogan-053020182.amp,Turkey Flirts with Dictatorship,20180531T110000Z,,bullionvault.com,English,United Kingdom,Turkey
https://www.businesstimes.com.sg/companies-markets/turkish-lira-tumbles-to-record-low-as-lack-of-central-bank-action-fuels-rout,https://www.businesstimes.com.sg/companies-markets/turkish-lira-tumbles-to-record-low-as-lack-of-central-bank-action-fuels-rout?amp,"Turkish lira tumbles to record low as lack of central bank action fuels rout , Companies & Markets",20180523T091500Z,https://www.businesstimes.com.sg/sites/default/files/styles/article_img_retina/public/image/2018/05/23/file709grk9902p1gvmexavv_0.jpg?itok=uxf86hRg,businesstimes.com.sg,English,Singapore,Turkey
https://www.msn.com/en-us/finance/markets/turkish-currency-slide-poses-a-political-challenge-to-erdogan/ar-AAy1zJo,,Turkish Currency Slide Poses a Political Challenge to Erdogan,20180530T140000Z,,msn.com,English,United States,Turkey
http://english.alarabiya.net/en/business/economy/2018/05/15/Turkey-s-lira-slides-after-Erdogan-says-wants-greater-economic-control.html,,Turkey lira slides after Erdogan says wants greater economic control,20180515T130000Z,https://vid.alarabiya.net/images/2017/01/10/1376f7a0-7a70-4654-bf5f-ecf04aa62bfe/1376f7a0-7a70-4654-bf5f-ecf04aa62bfe_16x9_788x442.jpg,english.alarabiya.net,English,,Turkey
